"役職名","担当業務","氏名 代表者との関係","住所","常勤・非常勤の別","役員給与計","使用人職務分","定期同額給与","事前確定届出給与","業績連動給与","その他","退職給与"
"代表社員","","佐藤 本人","沖縄県那覇市","常・非","12000000","","12000000","0","","",""
"","","","","常・非","","","","","","",""
"","","","","常・非","","","","","","",""
"","","","","常・非","","","","","","",""
"","","","","常・非","","","","","","",""
"","","","","常・非","","","","","","",""
"","","","","常・非","","","","","","",""
"","","","","常・非","","","","","","",""
"","","","","常・非","","","","","","",""
"","","","","常・非","","","","","","",""
"計","","","","","12000000","","12000000","0","","",""
"","","","","人","件費","の","内訳","","","",""
"","","区分","","","","総","額","総額","のうち代表","者及びそ","の家族分"
"","","役員給与","","","12,000,000","","","","","","12,000,000"
"","従業員","給与担当","賃金手当","","76,186,259","","","","","","5,699,508"
"","","計","","","88,186,259","","","","","","17,699,508"
